,precision,recall,f1-score,support
negative,0.7884368308351177,0.8330316742081448,0.8101210121012101,2210.0
neutral,0.41878841088674273,0.583843329253366,0.48773006134969327,817.0
positive,0.9036330049261084,0.7943166441136671,0.845455854817802,3695.0
accuracy,0.7814638500446296,0.7814638500446296,0.7814638500446296,0.7814638500446296
macro avg,0.7036194155493231,0.7370638825250593,0.7144356427562352,6722.0
weighted avg,0.8068312230053628,0.7814638500446296,0.7903603511481929,6722.0
