,precision,recall,f1-score,support
negative,0.7926464300983326,0.8389140271493213,0.8151242031215652,2210.0
neutral,0.5038560411311054,0.47980416156670747,0.4915360501567398,817.0
positive,0.8748959778085992,0.8535859269282815,0.8641095890410959,3695.0
accuracy,0.8033323415650104,0.8033323415650104,0.8033323415650104,0.8033323415650104
macro avg,0.7237994830126789,0.7241013718814368,0.7235899474398003,6722.0
weighted avg,0.8027580532764358,0.8033323415650104,0.802721567001423,6722.0
