,precision,recall,f1-score,support
negative,0.8720211827007943,0.8941176470588236,0.8829311885612153,2210.0
neutral,0.744466800804829,0.4528763769889841,0.563165905631659,817.0
positive,0.8825460974993685,0.9456021650879567,0.9129866736347008,3695.0
accuracy,0.868789050877715,0.868789050877715,0.868789050877715,0.868789050877715
macro avg,0.8330113603349973,0.7641987297119215,0.7863612559425249,6722.0
weighted avg,0.8623034841247348,0.868789050877715,0.8605876570517064,6722.0
